t,S_mean,S_var,Mz_mean,Mz_var
2.611557788944724123e+00,1.287120284912496082e+00,1.477942454553097737e-03,7.862440817426376641e-03,3.895379174549256913e-04
2.671356783919598410e+00,1.320615606537102416e+00,1.856657035804048150e-03,7.441267557191530435e-03,3.317736706268275041e-04
2.731155778894472697e+00,1.353446299251863882e+00,2.279953129279674567e-03,6.720537042157304075e-03,2.711400558407050620e-04
2.790954773869346983e+00,1.385962041399213307e+00,2.728740259188259295e-03,5.740231745346741077e-03,2.124709283459979246e-04
2.850753768844221270e+00,1.418637124117720250e+00,3.179866543333167896e-03,4.550367771543235157e-03,1.600538193043562726e-04
2.910552763819096000e+00,1.451982867671540944e+00,3.610322096743735429e-03,3.207188704365359581e-03,1.168827859086184130e-04
2.970351758793970287e+00,1.486456568966019631e+00,4.001517755047034886e-03,1.769765040745682402e-03,8.431936144609133597e-05
3.030150753768844574e+00,1.522387595052295595e+00,4.342184109086460152e-03,2.972553936694659620e-04,6.225513890671644413e-05
3.089949748743718860e+00,1.559933349089387633e+00,4.629081360808746763e-03,-1.153130560687094667e-03,4.967465291147913324e-05
3.149748743718593147e+00,1.599071263759540784e+00,4.865875402320705805e-03,-2.527611525654232735e-03,4.536892639833288617e-05
3.209547738693467878e+00,1.639622022063560891e+00,5.060971007858510763e-03,-3.776924482138099923e-03,4.851431155396915702e-05
3.269346733668342164e+00,1.681296777425035804e+00,5.225242890733772065e-03,-4.857284469874355477e-03,5.891369224125984162e-05
3.329145728643216451e+00,1.723753458239344338e+00,5.370255958190028184e-03,-5.731431659911015962e-03,7.685360103854741397e-05
3.388944723618090737e+00,1.766648115850400602e+00,5.506878931832023642e-03,-6.369916761972894276e-03,1.026903722461862081e-04
3.448743718592965024e+00,1.809669568187272093e+00,5.644460970204246385e-03,-6.752653501049195144e-03,1.363691225224077552e-04
3.508542713567839755e+00,1.852549771135366008e+00,5.790209217698111428e-03,-6.870639592500882124e-03,1.770818741438827610e-04
3.568341708542714041e+00,1.895047545905570674e+00,5.948999133524587174e-03,-6.727656331149187326e-03,2.231924536906469139e-04
3.628140703517588328e+00,1.936911120393218333e+00,6.123694533521521939e-03,-6.341623592056282697e-03,2.724380519400563237e-04
3.687939698492462615e+00,1.977831787712611700e+00,6.316070086602048467e-03,-5.745172355154049178e-03,3.223196608014462783e-04
3.747738693467336901e+00,2.017401023730357679e+00,6.528285194442218393e-03,-4.985138147506691826e-03,3.705332456202898249e-04
3.807537688442211632e+00,2.055087873166735690e+00,6.764445100242610226e-03,-4.120600576780869030e-03,4.152998768794211211e-04
3.867336683417085919e+00,2.090244169472514457e+00,7.031965867907361695e-03,-3.219366053051212710e-03,4.555001667520010007e-04
3.927135678391960205e+00,2.122141672006353286e+00,7.342193767261091797e-03,-2.353043331281098882e-03,4.905903931360435259e-04
3.986934673366834492e+00,2.150037101970800446e+00,7.710424766132699392e-03,-1.591044027815171182e-03,5.203537192942989109e-04
4.046733668341708778e+00,2.173254477074527014e+00,8.155064339675595006e-03,-9.941688185950900685e-04,5.445819080316371139e-04
4.106532663316582621e+00,2.191273906836141538e+00,8.696330798092928929e-03,-6.086051058995499983e-04,5.627992890534699649e-04
4.166331658291457352e+00,2.203810425382038751e+00,9.354493811111317184e-03,-4.611012770408655652e-04,5.741269986534070380e-04
4.226130653266332082e+00,2.210874504442194688e+00,1.014743839280041887e-02,-5.561483211195504539e-04,5.773308478611842865e-04
4.285929648241205925e+00,2.212801274078029401e+00,1.108783436631795467e-02,-8.755604155357919185e-04,5.710524788281900500e-04
4.345728643216080656e+00,2.210245536976426894e+00,1.217944450364128600e-02,-1.380698222396599699e-03,5.541589804431715444e-04
