tau,S_mean,S_var,Mz_mean,Mz_var
1.087653260007237721e+00,9.659271757066534335e-04,5.426164907499219166e-11,-1.098116346902492735e-04,3.674917969038700961e-08
1.110794818730796107e+00,1.201820003226580606e-03,1.077285144651347422e-10,-1.275423839216961849e-04,4.947509810099771662e-08
1.133936377454354272e+00,1.505883042559467630e-03,2.099793870800193811e-10,-1.491974589028565530e-04,6.755392453017717799e-08
1.157077936177912658e+00,1.817064623971588770e-03,3.496283293244226890e-10,-1.713595095520250558e-04,8.896544726965636307e-08
1.180219494901470823e+00,2.135531402513954433e-03,5.292090644098722359e-10,-1.940404048804222176e-04,1.139255124651525242e-07
1.203361053625028987e+00,2.461453934866004219e-03,7.513931831295094567e-10,-2.172522917694642201e-04,1.426615483250415204e-07
1.226502612348587373e+00,2.795006770678181481e-03,1.018997092495089567e-09,-2.410076014760923532e-04,1.754131455478841048e-07
1.249644171072145538e+00,3.144349848279145553e-03,1.349481655393523533e-09,-2.656680472640923709e-04,2.129775454670222896e-07
1.272785729795703702e+00,3.885494200945517358e-03,2.618182218500384533e-09,-3.076801398203387466e-04,2.846862901810015495e-07
1.295927288519262088e+00,4.643989782070351464e-03,4.347946229702703038e-09,-3.506757943687113257e-04,3.688312349593751165e-07
1.319068847242820253e+00,5.420242808240102912e-03,6.570001807124898713e-09,-3.946780374745025369e-04,4.662131162763573810e-07
1.342210405966378639e+00,6.214669006141097969e-03,9.317276138730017690e-09,-4.397104347871857500e-04,5.776755565916538320e-07
1.365351964689936803e+00,7.027693835204254502e-03,1.262448111381041618e-08,-4.857971036611286150e-04,7.041072118870714179e-07
1.388493523413494968e+00,8.030014477754737062e-03,1.809528451140644405e-08,-5.391661390987089993e-04,8.654459546573753332e-07
1.411635082137053354e+00,9.550658030834888526e-03,3.045382335200593121e-08,-6.118145239017192287e-04,1.109787905650269957e-06
1.434776640860611518e+00,1.110690198159527096e-02,4.641354630846610807e-08,-6.861637092536646389e-04,1.391283713854433498e-06
1.457918199584169905e+00,1.269957978526108609e-02,6.621564761934524218e-08,-7.622535132800973071e-04,1.712292234839149922e-06
1.481059758307728069e+00,1.432954440941293893e-02,9.011440002405662633e-08,-8.401246863047174109e-04,2.075298085057636777e-06
1.504201317031286234e+00,1.616558586557468105e-02,1.238865672162247942e-07,-9.251422115863729883e-04,2.509870881502567551e-06
1.527342875754844620e+00,1.884779098853243962e-02,1.960972195024392045e-07,-1.037612373626106439e-03,3.140347101206836868e-06
1.550484434478402784e+00,2.159279029415304973e-02,2.870914131368965143e-07,-1.152715619854216902e-03,3.858734547044055945e-06
1.573625993201961171e+00,2.440205388229675990e-02,3.981186073840745401e-07,-1.270513594463417535e-03,4.670556567606340392e-06
1.596767551925519335e+00,2.727708626992267002e-02,5.304958698021507781e-07,-1.391069384823400562e-03,5.581629971570767686e-06
1.619909110649077499e+00,3.100091728502737606e-02,7.675027377082846485e-07,-1.536585873303317933e-03,6.772621809264220900e-06
1.643050669372635886e+00,3.528314249821227350e-02,1.115617174505401477e-06,-1.698857820511853788e-03,8.227264637032459500e-06
1.666192228096194050e+00,3.966562060776916004e-02,1.539090887812706184e-06,-1.864928781526923327e-03,9.862655366586184610e-06
1.689333786819752437e+00,4.415069867456719588e-02,2.042871914979416080e-06,-2.034887696588355121e-03,1.168997452340747611e-05
1.712475345543310601e+00,4.947920111597995524e-02,2.823976554607803162e-06,-2.227723080676086067e-03,1.391835716753741928e-05
1.735616904266868765e+00,5.564460867022491541e-02,3.974177101578107445e-06,-2.443298337498935480e-03,1.660891622844028976e-05
1.758758462990427152e+00,6.195435705986634262e-02,5.354262123280091410e-06,-2.663920513343252198e-03,1.960942126739868231e-05
1.781900021713985316e+00,6.841182550624182179e-02,6.979227777162824604e-06,-2.889707763659637735e-03,2.293882709213873478e-05
