tau,E_mean,E_var
1.729614263426727749e+00,-3.546824247740624969e+02,1.328594195090412313e+03
1.751788805265531934e+00,-3.498276191260989663e+02,1.433422751299306128e+03
1.773963347104336119e+00,-3.448639579367094257e+02,1.572880632973994352e+03
1.796137888943140304e+00,-3.423796868398097217e+02,1.670046936738824570e+03
1.818312430781944489e+00,-3.504871076994189139e+02,1.488872551697710151e+03
1.840486972620748674e+00,-3.587763149684618611e+02,1.357035346561395954e+03
1.862661514459553080e+00,-3.672513847025953737e+02,1.278063089283967884e+03
1.884836056298357265e+00,-3.759164843517102099e+02,1.255672457325739060e+03
1.907010598137161450e+00,-3.847758748091937377e+02,1.293778252960407599e+03
1.929185139975965635e+00,-3.938339125071408375e+02,1.396503051017935832e+03
1.951359681814769820e+00,-3.992393649401898870e+02,1.481114680702903115e+03
1.973534223653574005e+00,-3.928005847556881349e+02,1.341819894988706892e+03
1.995708765492378189e+00,-3.862174327973334016e+02,1.230185156917882068e+03
2.017883307331182596e+00,-3.794866719288221475e+02,1.148226605007604121e+03
2.040057849169986781e+00,-3.726049924300544944e+02,1.098068886004450405e+03
2.062232391008790966e+00,-3.655690103696438200e+02,1.081950458445362983e+03
2.084406932847595151e+00,-3.616247340590650197e+02,1.009432910157370543e+03
2.106581474686399336e+00,-3.689797782392885779e+02,6.860917436626275503e+02
2.128756016525203520e+00,-3.764997388702432772e+02,4.593178168352935131e+02
2.150930558364007705e+00,-3.841883137455868678e+02,3.359842049002046451e+02
2.173105100202811890e+00,-3.920492835717359981e+02,3.233315793268557172e+02
2.195279642041616075e+00,-4.000865138269547856e+02,4.289861311759119644e+02
2.217454183880420260e+00,-3.953559530098284540e+02,5.060679390290272863e+02
2.239628725719224445e+00,-3.892606047993381253e+02,7.072184935184740198e+02
2.261803267558028629e+00,-3.830285853237658671e+02,1.056875929918492375e+03
2.283977809396832814e+00,-3.766568301093435593e+02,1.564899947941805749e+03
2.306152351235636999e+00,-3.713715341670295516e+02,1.880571869058779612e+03
2.328326893074441184e+00,-3.724516471135241318e+02,7.215543919907896679e+02
2.350501434913245369e+00,-3.735559785948310605e+02,1.693891786466149085e+02
2.372675976752049554e+00,-3.746850716443713054e+02,2.663807323671769609e+02
2.394850518590853738e+00,-3.758394814715830989e+02,1.057083470136614778e+03
2.417025060429657923e+00,-3.714110091927909707e+02,1.151549853355969844e+03
2.439199602268462108e+00,-3.659805933052193723e+02,1.221906509604767507e+03
2.461374144107266293e+00,-3.604284154142895318e+02,1.466651598518838682e+03
2.483548685946070478e+00,-3.547517453450446965e+02,1.897531787032523880e+03
2.505723227784874663e+00,-3.586406064509415046e+02,1.150897600322257404e+03
2.527897769623678847e+00,-3.632560107096279012e+02,6.191009987921345328e+02
2.550072311462483032e+00,-3.679749025980798365e+02,4.163741720807531124e+02
2.572246853301287661e+00,-3.711238284505166689e+02,3.480029203374666054e+02
2.594421395140091846e+00,-3.708889293816794748e+02,1.131060398579458024e+02
2.616595936978896031e+00,-3.706487633532206019e+02,1.232655767280239445e+02
2.638770478817700216e+00,-3.704032122681898045e+02,3.953277041456397001e+02
2.660945020656504401e+00,-3.783310277875063434e+02,1.144741616168176250e+02
2.683119562495308585e+00,-3.865449842798198574e+02,2.397714525534594827e+02
2.705294104334112770e+00,-3.949431159474250421e+02,8.114779920037872216e+02
2.727468646172916955e+00,-3.962352985127319585e+02,7.644990649434209899e+02
2.749643188011721140e+00,-3.965096411210035399e+02,7.026021221102988648e+02
2.771817729850525325e+00,-3.967901351007873245e+02,7.659987668268362313e+02
2.793992271689329510e+00,-3.868309383374514709e+02,6.174271684569887384e+02
2.816166813528133694e+00,-3.762752488186635560e+02,6.130921628099954432e+02
2.838341355366937879e+00,-3.692585613693546520e+02,5.215691305862818581e+02
2.860515897205742064e+00,-3.747757416362182425e+02,4.367949758087569307e+02
2.882690439044546249e+00,-3.804166293568183619e+02,1.695589738596316920e+03
2.904864980883350434e+00,-3.830306663879060807e+02,1.224576775463244758e+03
2.927039522722154619e+00,-3.840134474231729769e+02,3.588372985959956054e+02
2.949214064560958803e+00,-3.837086770234907931e+02,5.619947162975882975e+02
2.971388606399762988e+00,-3.785719399825129585e+02,6.524304431755846281e+02
2.993563148238567173e+00,-3.733200258711627839e+02,1.186226173652654325e+03
3.015737690077371358e+00,-3.747398591346686771e+02,1.141328376467422231e+03
3.037912231916175543e+00,-3.769358886292332045e+02,1.771160383445221214e+03
3.060086773754979728e+00,-3.641601570866209272e+02,1.421000032870964333e+03
3.082261315593783912e+00,-3.446474440883802117e+02,1.761073680214097749e+03
3.104435857432588097e+00,-3.448685248922879509e+02,1.166486181393052220e+03
3.126610399271392726e+00,-3.584668982201196172e+02,3.353411970348134901e+02
3.148784941110196911e+00,-3.792632645348011806e+02,4.371270038532434228e+02
3.170959482949001096e+00,-4.051847744178209041e+02,8.134966442124629111e+02
3.193134024787805281e+00,-4.147669356265155329e+02,3.745895823545665735e+02
3.215308566626609466e+00,-4.165151277492059307e+02,2.667656013851651551e+02
3.237483108465413650e+00,-4.047798541769395797e+02,3.646259071372690528e+02
3.259657650304217835e+00,-3.915899579306321812e+02,2.466550641770441871e+03
3.281832192143022020e+00,-3.971952888532112524e+02,6.230756797023497029e+02
3.304006733981826205e+00,-3.883965613807150135e+02,1.097601582277496391e+03
3.326181275820630390e+00,-3.542160454763540542e+02,2.979565655561883091e+02
3.348355817659434575e+00,-3.582948903441653670e+02,5.757208186846687568e+02
3.370530359498238759e+00,-3.732725613460619343e+02,1.975137973914275108e+03
3.392704901337042944e+00,-3.654443475889686397e+02,2.017662923935577737e+03
3.414879443175847129e+00,-3.762862979731420410e+02,6.474965913919179457e+02
3.437053985014651314e+00,-3.966093832017115233e+02,2.353062515209854155e+03
3.459228526853455499e+00,-4.010716162401021165e+02,6.816195163839430506e+02
3.481403068692259684e+00,-3.684440240776804671e+02,1.979983726133249320e+02
3.503577610531063868e+00,-3.428797371771696021e+02,1.067887448944886046e+03
3.525752152369868053e+00,-3.673217496062108580e+02,1.039869073834441679e+03
3.547926694208672238e+00,-3.632562329128660963e+02,5.323405194085677294e+02
3.570101236047476423e+00,-3.674261156032265490e+02,1.021709775406971858e+03
3.592275777886280608e+00,-3.765995664505829268e+02,1.704103318248734922e+03
3.614450319725084793e+00,-3.840667910189564509e+02,2.252927153227451072e+03
3.636624861563888977e+00,-3.794044659568594398e+02,3.082965186367714523e+03
3.658799403402693162e+00,-3.720305161654827089e+02,2.053841152563963135e+02
3.680973945241497347e+00,-3.468350953073487517e+02,1.722022218307389949e+03
3.703148487080301976e+00,-3.461174103768049690e+02,4.843420574734020079e+02
3.725323028919106161e+00,-3.737606627566169664e+02,3.429714170282927626e+02
3.747497570757910346e+00,-3.839171944705884130e+02,2.930830865786447248e+02
3.769672112596714530e+00,-3.756095425261858622e+02,4.002880980375332456e+02
3.791846654435518715e+00,-3.774364107698577868e+02,4.642655664769973782e+02
3.814021196274322900e+00,-3.607837013299823639e+02,3.314568532843492790e+02
3.836195738113127085e+00,-3.703256851587517531e+02,2.177883077209716248e+03
3.858370279951931270e+00,-3.721671569100674333e+02,1.296889961216186975e+03
3.880544821790735455e+00,-3.904540319891729041e+02,1.050620669482947278e+03
3.902719363629539640e+00,-3.804322532768489395e+02,4.890292206305063587e+02
3.924893905468343824e+00,-3.525093845848097658e+02,4.472555261380154548e+02
3.947068447307148009e+00,-3.787068699338194619e+02,1.385520694825223245e+03
3.969242989145952194e+00,-3.773778640118654266e+02,6.985745837517588370e+02
3.991417530984756379e+00,-3.628418726520342261e+02,9.528006728945740633e+02
4.013592072823560564e+00,-3.722073410274445564e+02,8.303027218338249895e+02
4.035766614662365193e+00,-3.956743576508692968e+02,8.818378011463368011e+02
4.057941156501168933e+00,-3.803361606825232002e+02,1.364472990227025093e+03
