t,E_mean,E_var
3.280000000000000000e+04,-3.983999999999999773e+02,6.950399999999999636e+02
3.300000000000000000e+04,-3.696000000000000227e+02,2.186240000000000236e+03
3.320000000000000000e+04,-3.520000000000000000e+02,5.440000000000000000e+02
3.340000000000000000e+04,-3.496000000000000227e+02,9.190399999999999636e+02
3.360000000000000000e+04,-3.871999999999999886e+02,7.129599999999999227e+02
3.380000000000000000e+04,-3.640000000000000000e+02,1.087999999999999972e+02
3.400000000000000000e+04,-3.503999999999999773e+02,1.930240000000000236e+03
3.420000000000000000e+04,-3.920000000000000000e+02,9.152000000000000455e+02
3.440000000000000000e+04,-3.880000000000000000e+02,2.054400000000000091e+03
3.460000000000000000e+04,-3.536000000000000227e+02,7.718399999999999181e+02
3.480000000000000000e+04,-3.496000000000000227e+02,7.206400000000001000e+02
3.500000000000000000e+04,-3.600000000000000000e+02,2.048000000000000114e+02
3.520000000000000000e+04,-3.303999999999999773e+02,3.031039999999999964e+03
3.540000000000000000e+04,-3.848000000000000114e+02,1.327360000000000127e+03
3.560000000000000000e+04,-3.543999999999999773e+02,5.606399999999999864e+02
3.580000000000000000e+04,-3.471999999999999886e+02,2.786560000000000400e+03
3.600000000000000000e+04,-3.583999999999999773e+02,4.902399999999999523e+02
3.620000000000000000e+04,-3.680000000000000000e+02,7.360000000000000000e+02
3.640000000000000000e+04,-3.623999999999999773e+02,4.259840000000000146e+03
3.660000000000000000e+04,-3.751999999999999886e+02,3.375359999999999673e+03
3.680000000000000000e+04,-3.608000000000000114e+02,4.057599999999999909e+02
3.700000000000000000e+04,-3.743999999999999773e+02,2.896640000000000327e+03
3.720000000000000000e+04,-3.808000000000000114e+02,1.263360000000000127e+03
3.740000000000000000e+04,-3.720000000000000000e+02,2.547199999999999818e+03
3.760000000000000000e+04,-3.600000000000000000e+02,3.488000000000000000e+03
3.780000000000000000e+04,-3.808000000000000114e+02,8.345600000000000591e+02
3.800000000000000000e+04,-3.711999999999999886e+02,5.401600000000000819e+02
3.820000000000000000e+04,-3.936000000000000227e+02,1.232640000000000327e+03
3.840000000000000000e+04,-3.888000000000000114e+02,7.833600000000000136e+02
3.860000000000000000e+04,-3.743999999999999773e+02,1.802239999999999782e+03
3.880000000000000000e+04,-3.736000000000000227e+02,1.680640000000000100e+03
3.900000000000000000e+04,-3.440000000000000000e+02,1.184000000000000000e+03
3.920000000000000000e+04,-3.728000000000000114e+02,1.141759999999999991e+03
3.940000000000000000e+04,-3.591999999999999886e+02,8.665600000000000591e+02
3.960000000000000000e+04,-3.751999999999999886e+02,1.256960000000000036e+03
3.980000000000000000e+04,-3.471999999999999886e+02,2.479360000000000127e+03
4.000000000000000000e+04,-3.831999999999999886e+02,3.106559999999999945e+03
4.020000000000000000e+04,-3.391999999999999886e+02,1.954559999999999945e+03
4.040000000000000000e+04,-3.480000000000000000e+02,1.824000000000000000e+03
4.060000000000000000e+04,-4.023999999999999773e+02,1.181440000000000055e+03
4.080000000000000000e+04,-3.760000000000000000e+02,4.351999999999999886e+02
4.100000000000000000e+04,-4.143999999999999773e+02,3.366399999999999864e+02
4.120000000000000000e+04,-3.711999999999999886e+02,1.775360000000000127e+03
4.140000000000000000e+04,-3.656000000000000227e+02,1.360639999999999873e+03
4.160000000000000000e+04,-3.951999999999999886e+02,4.953599999999999568e+02
4.180000000000000000e+04,-3.751999999999999886e+02,2.191360000000000127e+03
4.200000000000000000e+04,-4.031999999999999886e+02,7.769599999999999227e+02
4.220000000000000000e+04,-3.623999999999999773e+02,1.706239999999999782e+03
4.240000000000000000e+04,-3.703999999999999773e+02,2.371840000000000146e+03
4.260000000000000000e+04,-3.696000000000000227e+02,2.551039999999999964e+03
