tau,S_mean,S_var,Mz_mean,Mz_var
7.201108526521282638e-01,4.053653425137728839e-05,0.000000000000000000e+00,-8.357999877622468990e-06,0.000000000000000000e+00
7.406854484421889762e-01,4.770111663555368260e-05,0.000000000000000000e+00,-9.526009345505248647e-06,0.000000000000000000e+00
7.612600442322497996e-01,5.501463429399406334e-05,0.000000000000000000e+00,-1.071829905766664268e-05,0.000000000000000000e+00
7.818346400223106230e-01,6.248018325026714513e-05,0.000000000000000000e+00,-1.193537374482885281e-05,0.000000000000000000e+00
8.024092358123714464e-01,8.484028566049071234e-05,0.000000000000000000e+00,-1.447179251633868659e-05,0.000000000000000000e+00
8.229838316024322697e-01,1.078162286418077022e-04,0.000000000000000000e+00,-1.707419690490214571e-05,0.000000000000000000e+00
8.435584273924930931e-01,1.312697889057392036e-04,0.000000000000000000e+00,-1.973069932606172258e-05,0.000000000000000000e+00
8.641330231825538055e-01,1.552108950227395155e-04,0.000000000000000000e+00,-2.244242435413166078e-05,0.000000000000000000e+00
8.847076189726146289e-01,1.796496819555258367e-04,0.000000000000000000e+00,-2.521051994075314886e-05,0.000000000000000000e+00
9.052822147626754523e-01,2.045964953494989720e-04,0.000000000000000000e+00,-2.803615790085518938e-05,0.000000000000000000e+00
9.258568105527362757e-01,2.575045352220706359e-04,0.000000000000000000e+00,-3.268903415792035302e-05,0.000000000000000000e+00
9.464314063427970991e-01,3.180969864906472251e-04,0.000000000000000000e+00,-3.786296608585190546e-05,0.000000000000000000e+00
9.670060021328579225e-01,3.799490161776328864e-04,0.000000000000000000e+00,-4.314445221993124625e-05,0.000000000000000000e+00
9.875805979229186349e-01,4.430868080362646141e-04,0.000000000000000000e+00,-4.853572836600595882e-05,0.000000000000000000e+00
1.008155193712979569e+00,5.075370901201001466e-04,0.000000000000000000e+00,-5.403907680721162791e-05,0.000000000000000000e+00
1.028729789503040282e+00,5.944544313736267174e-04,0.000000000000000000e+00,-6.072143040070872896e-05,0.000000000000000000e+00
1.049304385293101216e+00,7.276120005916415215e-04,0.000000000000000000e+00,-6.978169300438335880e-05,0.000000000000000000e+00
1.069878981083161928e+00,8.635376109917354461e-04,0.000000000000000000e+00,-7.903029773652054475e-05,0.000000000000000000e+00
1.090453576873222641e+00,1.002288803816447915e-03,0.000000000000000000e+00,-8.847115979901989643e-05,0.000000000000000000e+00
1.111028172663283575e+00,1.143924316459082186e-03,0.000000000000000000e+00,-9.810827578186959348e-05,0.000000000000000000e+00
1.131602768453344288e+00,1.332536662533240343e-03,0.000000000000000000e+00,-1.097580409307446760e-04,0.000000000000000000e+00
1.152177364243405222e+00,1.592543688283710058e-03,0.000000000000000000e+00,-1.244271034631952118e-04,0.000000000000000000e+00
1.172751960033465934e+00,1.857955665169399488e-03,0.000000000000000000e+00,-1.394011022409588521e-04,0.000000000000000000e+00
1.193326555823526647e+00,2.128884949757173673e-03,0.000000000000000000e+00,-1.546863761908415962e-04,0.000000000000000000e+00
1.213901151613587581e+00,2.405446234249839898e-03,0.000000000000000000e+00,-1.702893960114336153e-04,0.000000000000000000e+00
1.234475747403648294e+00,2.846774245748755813e-03,0.000000000000000000e+00,-1.917298486795443316e-04,0.000000000000000000e+00
1.255050343193709228e+00,3.310486226919462458e-03,0.000000000000000000e+00,-2.140739770309736309e-04,0.000000000000000000e+00
1.275624938983769940e+00,3.783837719144946682e-03,0.000000000000000000e+00,-2.368825886845363118e-04,0.000000000000000000e+00
1.296199534773830875e+00,4.267029105803588421e-03,0.000000000000000000e+00,-2.601653391852857340e-04,0.000000000000000000e+00
1.316774130563891587e+00,4.963672911069661256e-03,0.000000000000000000e+00,-2.900012767521636297e-04,0.000000000000000000e+00
1.337348726353952300e+00,5.717508190189534746e-03,0.000000000000000000e+00,-3.217317915013424541e-04,0.000000000000000000e+00
1.357923322144013234e+00,6.487013979888455774e-03,0.000000000000000000e+00,-3.541219110485828675e-04,0.000000000000000000e+00
1.378497917934073946e+00,7.288958041415462968e-03,0.000000000000000000e+00,-3.876134540343589689e-04,0.000000000000000000e+00
1.399072513724134881e+00,8.420740315768615591e-03,0.000000000000000000e+00,-4.299552775386893903e-04,0.000000000000000000e+00
1.419647109514195593e+00,9.576049753939455678e-03,0.000000000000000000e+00,-4.731772906700356480e-04,0.000000000000000000e+00
1.440221705304256528e+00,1.075537543183056541e-02,0.000000000000000000e+00,-5.172977905567558050e-04,0.000000000000000000e+00
1.460796301094317240e+00,1.218582879476064543e-02,0.000000000000000000e+00,-5.675192729980517350e-04,0.000000000000000000e+00
1.481370896884377952e+00,1.383688936912837175e-02,0.000000000000000000e+00,-6.231509815426211022e-04,0.000000000000000000e+00
1.501945492674438887e+00,1.552227171499433872e-02,0.000000000000000000e+00,-6.799391460151958753e-04,0.000000000000000000e+00
1.522520088464499599e+00,1.738069331431991299e-02,0.000000000000000000e+00,-7.406786008067221209e-04,0.000000000000000000e+00
1.543094684254560534e+00,1.964315951946399991e-02,0.000000000000000000e+00,-8.100173045496939558e-04,0.000000000000000000e+00
1.563669280044621246e+00,2.195265722019398846e-02,0.000000000000000000e+00,-8.807974012874451170e-04,0.000000000000000000e+00
1.584243875834681958e+00,2.443291753715476008e-02,0.000000000000000000e+00,-9.551885447485403743e-04,0.000000000000000000e+00
1.604818471624742893e+00,2.742265617320626195e-02,0.000000000000000000e+00,-1.039108010078609564e-03,0.000000000000000000e+00
1.625393067414803605e+00,3.047454463458760393e-02,0.000000000000000000e+00,-1.124771969074160431e-03,0.000000000000000000e+00
1.645967663204864539e+00,3.380163616515986097e-02,0.000000000000000000e+00,-1.215338642732773523e-03,0.000000000000000000e+00
1.666542258994925252e+00,3.762895513687419813e-02,0.000000000000000000e+00,-1.314143098048698973e-03,0.000000000000000000e+00
1.687116854784986186e+00,4.153583531260342243e-02,0.000000000000000000e+00,-1.415001471913108566e-03,0.000000000000000000e+00
1.707691450575046899e+00,4.594080899532634876e-02,0.000000000000000000e+00,-1.522881371636311369e-03,0.000000000000000000e+00
1.728266046365107611e+00,5.070484747119097940e-02,0.000000000000000000e+00,-1.636163981059920525e-03,0.000000000000000000e+00
1.748840642155168545e+00,5.559268269866110557e-02,0.000000000000000000e+00,-1.752009530486919701e-03,0.000000000000000000e+00
1.769415237945229258e+00,6.125861689595454851e-02,0.000000000000000000e+00,-1.875946927285350582e-03,0.000000000000000000e+00
1.789989833735290192e+00,6.704233290081011709e-02,0.000000000000000000e+00,-2.002460698978223135e-03,0.000000000000000000e+00
