tau,S_mean,S_var,Mz_mean,Mz_var
8.099545553245387497e-01,1.224867120043904160e-04,5.351800388595801556e-13,-1.623716646624638013e-05,6.012646729981232126e-09
8.330961140480970251e-01,1.430068685796269162e-04,7.562007724990207225e-13,-1.849833795909218401e-05,7.794958049969884353e-09
8.562376727716553004e-01,1.640074307917132863e-04,1.021853638883291566e-12,-2.081244664698641815e-05,9.858202682639999949e-09
8.793792314952135758e-01,1.854996456101874562e-04,1.335052686800878485e-12,-2.318073186388866028e-05,1.222028911666030998e-08
9.025207902187717401e-01,2.074950233119134124e-04,1.698868730226557948e-12,-2.560446195830417767e-05,1.490008188429729034e-08
9.256623489423300155e-01,2.665011266389357629e-04,3.876193185778701454e-12,-3.023712043689052106e-05,2.066207074792083046e-08
9.488039076658882909e-01,3.589198428339905578e-04,9.615453254260943496e-12,-3.686714122446577434e-05,3.048699339378711409e-08
9.719454663894465662e-01,4.535022107559562483e-04,1.814297835782994321e-11,-4.365238009466636829e-05,4.251429801460518571e-08
9.950870251130048416e-01,5.502988845254306108e-04,2.964976335959381824e-11,-5.059647092043890998e-05,5.688897824491851824e-08
1.018228583836563006e+00,6.493617041469914664e-04,4.433722993907870616e-11,-5.770313264879030091e-05,7.376384821845322740e-08
1.041370142560121392e+00,7.507437232724131033e-04,6.241775280932166420e-11,-6.497617129249160710e-05,9.329993532032338682e-08
1.064511701283679557e+00,8.544992376138434154e-04,8.411521161727260829e-11,-7.241948196840915155e-05,1.156668920660553794e-07
1.087653260007237721e+00,9.606838140221769665e-04,1.096655697618613671e-10,-8.003705098355626388e-05,1.410434280257038685e-07
1.110794818730796107e+00,1.194436940148806353e-03,2.175306012374909745e-10,-9.321747233679676268e-05,1.896659724215963328e-07
1.133936377454354272e+00,1.495581039562946185e-03,4.237004545179236422e-10,-1.093719118534621973e-04,2.586447033962409065e-07
1.157077936177912658e+00,1.803775344580160712e-03,7.052031675283505829e-10,-1.259045494494408668e-04,3.402930868124176847e-07
1.180219494901470823e+00,2.119184910398738252e-03,1.067142327037481728e-09,-1.428242392720424463e-04,4.354314110780387983e-07
