t,S_mean,S_var,Mz_mean,Mz_var
2.189447236180904532e+00,1.192600049979775312e+00,1.221776310562623126e-02,7.942656092843248042e-03,9.930876276390825531e-04
2.239195979899497591e+00,1.221931600106403115e+00,1.231067273566868736e-02,8.780294774273689554e-03,9.016259530359194705e-04
2.288944723618090649e+00,1.248328973426511723e+00,1.248027065466657086e-02,9.433504059790841223e-03,8.001001032024122059e-04
2.338693467336683707e+00,1.271178896148026816e+00,1.274679747921884931e-02,9.871352567914709955e-03,6.937381009179769418e-04
2.388442211055276765e+00,1.289888056418240003e+00,1.311895154085639288e-02,1.006666964757079764e-02,5.870698420942882479e-04
2.438190954773869379e+00,1.303953644685537983e+00,1.359414774112251666e-02,9.998223384113534909e-03,4.839057496687437180e-04
2.487939698492462437e+00,1.313031140308826616e+00,1.415979841176998738e-02,9.652225589051028828e-03,3.873738870384143391e-04
2.537688442211055495e+00,1.316989933504024046e+00,1.479547075140120148e-02,9.023047665506362877e-03,2.999563788728331032e-04
2.587437185929648553e+00,1.315949605660771793e+00,1.547597404044549242e-02,8.113103956194208863e-03,2.234864011778658649e-04
2.637185929648241611e+00,1.310292077837854841e+00,1.617546195364231651e-02,6.932137849320272639e-03,1.591159787932184427e-04
2.686934673366834225e+00,1.300648077536974201e+00,1.687213371471727938e-02,5.495997521038526422e-03,1.072782656357945414e-04
2.736683417085427283e+00,1.287859601359296668e+00,1.755272989268015157e-02,3.825394648729812681e-03,6.768189833360795929e-05
2.786432160804020342e+00,1.272921054589665424e+00,1.821539865883249620e-02,1.944817209320785908e-03,3.936493515363703375e-05
2.836180904522613400e+00,1.256902735310791552e+00,1.886976544538367453e-02,-1.181819107941983472e-04,2.081815993475299507e-05
2.885929648241206458e+00,1.240860258724916898e+00,1.953374056794337024e-02,-2.333099490637275970e-03,1.016843513450832532e-05
2.935678391959799072e+00,1.225742530430103949e+00,2.022773988981646509e-02,-4.665985667429504123e-03,5.391040016938419362e-06
2.985427135678392130e+00,1.212319108075412322e+00,2.096685528009888111e-02,-7.078594054899824822e-03,4.517721507980972730e-06
3.035175879396985188e+00,1.201137980783663517e+00,2.175374135210079649e-02,-9.527166144504122317e-03,5.804802398438851485e-06
3.084924623115578246e+00,1.192495002105788737e+00,2.257717826482473836e-02,-1.196151440271535360e-02,7.842693814685734266e-06
3.134673366834171304e+00,1.186396508379685244e+00,2.342230562895738014e-02,-1.432444227032550303e-02,9.602357752339456728e-06
3.184422110552763918e+00,1.182531266922599356e+00,2.429032575848371137e-02,-1.655208354028006243e-02,1.043271786590376296e-05
3.234170854271356976e+00,1.180306552574207135e+00,2.520322792621949859e-02,-1.857529878684459693e-02,1.003139022159527718e-05
3.283919597989950034e+00,1.178985480143787123e+00,2.618635460492485870e-02,-2.032227919647825246e-02,8.412103012691345559e-06
3.333668341708543092e+00,1.177839275466865177e+00,2.726123861948434590e-02,-2.172227139312560631e-02,5.885125123055348906e-06
3.383417085427136151e+00,1.176227862138037539e+00,2.845065042781382003e-02,-2.271015930461921239e-02,3.055215295981157322e-06
3.433165829145728765e+00,1.173650897273945892e+00,2.978394201215520121e-02,-2.323157727580681467e-02,8.308249575861523642e-07
3.482914572864321823e+00,1.169795263959351628e+00,3.130286757190290509e-02,-2.324794257132817635e-02,4.330329428249791063e-07
3.532663316582914881e+00,1.164522685081921471e+00,3.304424964951762494e-02,-2.274100055290062192e-02,3.388910950597522433e-06
3.582412060301507939e+00,1.157816683483093856e+00,3.500703317298167055e-02,-2.171632038321525196e-02,1.149532826363861330e-05
3.632160804020100997e+00,1.149863200914556183e+00,3.718496921190046767e-02,-2.020529178730054790e-02,2.673709942126583166e-05
3.681909547738693611e+00,1.140993799866654834e+00,3.954502346272464192e-02,-1.826549346459958520e-02,5.114227520307986066e-05
3.731658291457286669e+00,1.131638786794389118e+00,4.201413619380408443e-02,-1.597905035623066461e-02,8.655436563275000015e-05
3.781407035175879727e+00,1.122287614195761840e+00,4.447509237032170465e-02,-1.344921177306557247e-02,1.343122409015239192e-04
3.831155778894472785e+00,1.113439374312757080e+00,4.676696383033657894e-02,-1.079522504601455012e-02,1.948494805049058066e-04
3.880904522613065843e+00,1.105510106883677457e+00,4.867595006614294784e-02,-8.145916802662684156e-03,2.672688949759409352e-04
3.930653266331658457e+00,1.098767287215528521e+00,4.995302526000919979e-02,-5.632410542109515285e-03,3.489913125211115759e-04
3.980402010050251516e+00,1.093362736646880329e+00,5.038583651042963935e-02,-3.380715450388333248e-03,4.356192785125436394e-04
4.030150753768844574e+00,1.089365067184942193e+00,4.985239651831550184e-02,-1.504771322076245465e-03,5.211561248384210089e-04
4.079899497487437188e+00,1.086773993744256650e+00,4.833866429187128749e-02,-1.006551602938625113e-04,5.986651550295708476e-04
4.129648241206029802e+00,1.085525479487759570e+00,4.593309944955692448e-02,7.573939595225271651e-04,6.613502547206701228e-04
4.179396984924623304e+00,1.085491838631982509e+00,4.280491901286574002e-02,1.018909911530798242e-03,7.038889708835444113e-04
4.229145728643215918e+00,1.086502162313189412e+00,3.917725387854478075e-02,6.568712740195651288e-04,7.237193667104222829e-04
4.278894472361808532e+00,1.088385579031956540e+00,3.530396198559484361e-02,-3.344397995060042757e-04,7.219116838371883666e-04
4.328643216080402034e+00,1.091007432014636125e+00,3.144544245959685069e-02,-1.943157389678391161e-03,7.032877138637574172e-04
4.378391959798994648e+00,1.094277893916020927e+00,2.783851678246995406e-02,-4.143962591924177374e-03,6.756142170337534362e-04
4.428140703517588150e+00,1.098132929534340496e+00,2.466703735412055162e-02,-6.902001870123626419e-03,6.479323788481863725e-04
4.477889447236180764e+00,1.102494043875986485e+00,2.204123447061959173e-02,-1.017558424932554946e-02,6.283653463651487801e-04
4.527638190954773378e+00,1.107218740351886721e+00,1.998947708766155018e-02,-1.391714455116809662e-02,6.219453023147705978e-04
4.577386934673366881e+00,1.112055526063971955e+00,1.846052908311748494e-02,-1.807213972651977238e-02,6.290842224197217697e-04
4.627135678391959495e+00,1.116654406622676454e+00,1.734090091764461938e-02,-2.257600168649383232e-02,6.451993275256772071e-04
4.676884422110552997e+00,1.120675922281905157e+00,1.649070865406004893e-02,-2.734985691296686061e-02,6.617358595427264836e-04
4.726633165829145611e+00,1.123898212305247890e+00,1.577363724871560027e-02,-3.229584559542043182e-02,6.684395131632951161e-04
4.776381909547738225e+00,1.126264403949670978e+00,1.507788647987647578e-02,-3.729325445133440525e-02,6.563535334958548427e-04
4.826130653266331727e+00,1.127882934609071741e+00,1.433459793917469215e-02,-4.219661494935619123e-02,6.207429806410665876e-04
4.875879396984924341e+00,1.128986457610237970e+00,1.352551240875004418e-02,-4.683683811844854133e-02,5.630824295685726757e-04
4.925628140703517843e+00,1.129857994893965989e+00,1.267625666322368984e-02,-5.102590895019473716e-02,4.914514827380171572e-04
4.975376884422110457e+00,1.130749390880446237e+00,1.184042243969887602e-02,-5.456534874132948354e-02,4.190804606194220051e-04
5.025125628140703071e+00,1.131850920810276717e+00,1.107134401783062445e-02,-5.725796985086441943e-02,3.613182275757559955e-04
5.074874371859296573e+00,1.133281225406094883e+00,1.040206272817484866e-02,-5.892191490393491882e-02,3.317753955667560820e-04
5.124623115577889187e+00,1.135073000461126913e+00,9.840368483047349027e-03,-5.940560681240958374e-02,3.386837479030498175e-04
5.174371859296482690e+00,1.137161753866129166e+00,9.372252891435728372e-03,-5.860182488338418899e-02,3.825051206258735996e-04
5.224120603015075304e+00,1.139382613729802651e+00,8.969375146722359873e-03,-5.645924718457521335e-02,4.555036789434036199e-04
5.273869346733667918e+00,1.141487778504720829e+00,8.598304120359924474e-03,-5.298996905896041776e-02,5.434471277025406701e-04
5.323618090452261420e+00,1.143188732128709750e+00,8.229068671290138900e-03,-4.827185404422501547e-02,6.289890332194891624e-04
5.373366834170854034e+00,1.144210647890883115e+00,7.840871676773691901e-03,-4.244541502815880191e-02,6.957959785539976271e-04
5.423115577889447536e+00,1.144346096158533221e+00,7.424224807046186925e-03,-3.570516518476000295e-02,7.322581146011524151e-04
5.472864321608040150e+00,1.143495750402739874e+00,6.980510551750506061e-03,-2.828669720962759260e-02,7.337926483728089309e-04
5.522613065326632764e+00,1.141686876657154404e+00,6.521420555733234599e-03,-2.045056558556860096e-02,7.031600770286907005e-04
5.572361809045226266e+00,1.139068402163478932e+00,6.068313260539514968e-03,-1.246487495261435451e-02,6.488537118039869713e-04
5.622110552763818880e+00,1.135889685790754777e+00,5.649923782814137568e-03,-4.588378370203952290e-03,5.821670914515256852e-04
5.671859296482412383e+00,1.132470016876470309e+00,5.298187055094973064e-03,2.944267024668044495e-03,5.139015834442281364e-04
5.721608040201004997e+00,1.129160780002733899e+00,5.043024597185987411e-03,9.933720854950499335e-03,4.516925009299710175e-04
5.771356783919597611e+00,1.126301128236152138e+00,4.907157638317150537e-03,1.622288511333639174e-02,3.986530199503734453e-04
5.821105527638191113e+00,1.124168807505857126e+00,4.900571516206855306e-03,2.169916976848118226e-02,3.535732015606525384e-04
5.870854271356783727e+00,1.122964126972171073e+00,5.019504812887205618e-03,2.629254537630458521e-02,3.124146441767253158e-04
5.920603015075377229e+00,1.122846056268691051e+00,5.254862635937670480e-03,2.996999831504632006e-02,2.705040367074731315e-04
5.970351758793969843e+00,1.123947832832913329e+00,5.602391311023192412e-03,3.272767033486537885e-02,2.246957434911462422e-04
6.020100502512562457e+00,1.126325155599355199e+00,6.073536462474375675e-03,3.458175071795323990e-02,1.748821469587509244e-04
6.069849246231155959e+00,1.129881747902882205e+00,6.703485523735214398e-03,3.555974866891768033e-02,1.244801988544482353e-04
6.119597989949748573e+00,1.134422009146154542e+00,7.552254803288373751e-03,3.569305293168748699e-02,7.985042432563950183e-05
