tau,C_mean,C_var
4.118442043379155759e-01,3.971354166666666435e-02,0.000000000000000000e+00
4.163207717763711679e-01,3.971354166666666435e-02,0.000000000000000000e+00
4.207973392148268155e-01,3.971354166666666435e-02,0.000000000000000000e+00
4.252739066532824075e-01,3.971354166666666435e-02,0.000000000000000000e+00
4.297504740917379995e-01,3.971354166666666435e-02,0.000000000000000000e+00
4.342270415301935915e-01,3.971354166666666435e-02,0.000000000000000000e+00
4.387036089686491835e-01,3.971354166666666435e-02,0.000000000000000000e+00
4.431801764071048311e-01,3.971354166666666435e-02,0.000000000000000000e+00
4.476567438455604231e-01,3.971354166666666435e-02,0.000000000000000000e+00
4.521333112840160151e-01,3.971354166666666435e-02,0.000000000000000000e+00
4.566098787224716071e-01,3.971354166666666435e-02,0.000000000000000000e+00
4.610864461609272547e-01,3.974240023688990764e-02,0.000000000000000000e+00
4.655630135993828467e-01,3.982577721621717581e-02,0.000000000000000000e+00
4.700395810378384387e-01,3.990952827488622456e-02,0.000000000000000000e+00
4.745161484762940307e-01,3.999365509124224588e-02,0.000000000000000000e+00
4.789927159147496227e-01,4.007815935116052636e-02,0.000000000000000000e+00
4.834692833532052703e-01,4.016304274808020491e-02,0.000000000000000000e+00
4.879458507916608623e-01,4.024830698303819010e-02,0.000000000000000000e+00
4.924224182301164543e-01,4.033395376470327170e-02,0.000000000000000000e+00
4.968989856685720463e-01,4.041998480941037114e-02,0.000000000000000000e+00
5.013755531070276383e-01,4.050640184119490977e-02,0.000000000000000000e+00
5.058521205454832304e-01,4.059320659182736463e-02,0.000000000000000000e+00
5.103286879839388224e-01,4.068040080084799059e-02,0.000000000000000000e+00
5.148052554223945254e-01,4.076798621560166064e-02,0.000000000000000000e+00
5.192818228608501174e-01,4.085596459127289332e-02,0.000000000000000000e+00
5.237583902993057094e-01,4.094433769092101216e-02,0.000000000000000000e+00
5.282349577377613015e-01,4.103310728551549935e-02,0.000000000000000000e+00
5.327115251762168935e-01,4.112227515397147426e-02,0.000000000000000000e+00
5.371880926146724855e-01,4.121184308318533163e-02,0.000000000000000000e+00
5.416646600531280775e-01,4.130181286807053931e-02,0.000000000000000000e+00
5.461412274915836695e-01,4.139218631159367889e-02,0.000000000000000000e+00
5.506177949300392616e-01,4.148296522481048632e-02,0.000000000000000000e+00
5.550943623684949646e-01,4.157415142690219778e-02,0.000000000000000000e+00
5.595709298069505566e-01,4.166574674521199284e-02,0.000000000000000000e+00
5.640474972454061486e-01,4.169702878287163961e-02,0.000000000000000000e+00
5.685240646838617407e-01,4.172783513807380718e-02,0.000000000000000000e+00
5.730006321223173327e-01,4.175877970913807052e-02,0.000000000000000000e+00
5.774771995607729247e-01,4.178986311618401728e-02,0.000000000000000000e+00
5.819537669992285167e-01,4.182108598211348172e-02,0.000000000000000000e+00
5.864303344376841087e-01,4.185244893262300009e-02,0.000000000000000000e+00
5.909069018761397007e-01,4.188395259621636307e-02,0.000000000000000000e+00
5.953834693145954038e-01,4.191559760421720293e-02,0.000000000000000000e+00
5.998600367530509958e-01,4.194738459078165699e-02,0.000000000000000000e+00
6.043366041915065878e-01,4.197931419291105887e-02,0.000000000000000000e+00
6.088131716299621798e-01,4.206898570185893527e-02,0.000000000000000000e+00
6.132897390684177719e-01,4.219785272469112059e-02,0.000000000000000000e+00
6.177663065068733639e-01,4.232729792259593005e-02,0.000000000000000000e+00
6.222428739453289559e-01,4.245732388961492854e-02,0.000000000000000000e+00
6.267194413837845479e-01,4.258793323142811421e-02,0.000000000000000000e+00
6.311960088222401399e-01,4.271912856540616144e-02,0.000000000000000000e+00
6.356725762606958430e-01,4.285091252066281636e-02,0.000000000000000000e+00
6.401491436991514350e-01,4.298328773810762560e-02,0.000000000000000000e+00
6.446257111376070270e-01,4.311625687049883138e-02,0.000000000000000000e+00
6.491022785760626190e-01,4.324982258249657208e-02,0.000000000000000000e+00
6.535788460145182110e-01,4.329427083333333565e-02,0.000000000000000000e+00
6.580554134529738031e-01,4.329427083333333565e-02,0.000000000000000000e+00
